PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Mumbai North Central,6,GEN,Maharashtra,Manohar Gajanan Joshi,Shiv Sena,"11,48,316","5,28,342",46.00%,"1,68,995",32.00%,1999
Mumbai North East,7,SC,Maharashtra,Kirit Somaiya,Bharatiya Janta Party,"19,90,340","9,29,549",46.70%,"7,276",0.80%,1999
Mumbai North West,8,GEN,Maharashtra,Sunil Dutt,Indian National Congress,"15,53,015","7,13,586",46.00%,"85,539",12.00%,1999
Mumbai South,4,GEN,Maharashtra,Jayawanti Mehta,Bharatiya Janta Party,"7,19,281","3,03,022",42.10%,"10,243",3.40%,1999
Mumbai South Central,5,GEN,Maharashtra,Mohan Vishnu Rawale,Shiv Sena,"8,12,576","3,69,130",45.40%,"79,036",21.40%,1999
Murshidabad,9,GEN,West Bengal,Moinul Hassan,Communist Party Of India (MARXIST),"11,72,830","8,36,120",71.30%,"1,23,360",14.80%,1999
Muvattupuzha,12,GEN,Kerala,Adv. P.C. Thomas,Kerala Congress(M),"10,20,153","6,92,278",67.90%,"76,939",11.10%,1999
Muzaffarnagar,82,GEN,Uttar Pradesh [1947 - 1999],Saiduzzaman,Indian National Congress,"12,17,407","6,91,547",56.80%,"25,751",3.70%,1999
Muzaffarpur,10,GEN,Bihar [1947 - 1999],Captain Jai Na. Pd. Nishad,Janata Dal (United),"10,67,836","7,30,490",68.40%,"60,720",8.30%,1999
Mysore,16,GEN,Karnataka,Srikantadatta Narasimharaja Wadiyar,Indian National Congress,"13,02,736","8,99,492",69.10%,"13,431",1.50%,1999
Nabadwip,12,GEN,West Bengal,Ananda Mohan Biswas,All India Trinamool Congress,"13,20,358","10,14,379",76.80%,"39,135",3.90%,1999
Nagaland,1,ST,Nagaland,K. Asungba Sangtam,Indian National Congress,"9,55,914","7,28,843",76.30%,"3,53,598",48.50%,1999
Nagapattinam,30,GEN,Tamil Nadu,"Vijayan, A.K.S.",Dravida Munetra Kazhagam,"10,54,666","6,96,288",66.00%,"22,466",3.20%,1999
Nagarkurnool,28,SC,Andhra Pradesh,Dr.Manda Jagannath,Telugu Desam,"12,12,569","8,43,025",69.50%,"66,900",7.90%,1999
Nagaur,25,GEN,Rajasthan,Ram Raghunath Choudhary,Indian National Congress,"12,33,531","7,11,267",57.70%,"48,469",6.80%,1999
Nagercoil,39,GEN,Tamil Nadu,"Radhakrishnan,p.",Bharatiya Janta Party,"10,57,712","6,21,860",58.80%,"1,45,643",23.40%,1999
Nagpur,23,GEN,Maharashtra,Vilas Muttemwar,Indian National Congress,"15,51,380","8,29,946",53.50%,"72,695",8.80%,1999
Nainital,4,GEN,Uttar Pradesh [1947 - 1999],Narayan Datt Tiwari,Indian National Congress,"13,68,193","8,03,947",58.80%,"1,12,407",14.00%,1999
Nalanda,34,GEN,Bihar [1947 - 1999],George Fernandes,Janata Dal (United),"11,80,008","8,78,611",74.50%,"1,05,821",12.00%,1999
Nalgonda,41,GEN,Andhra Pradesh,Gutha Sukender Reddy,Telugu Desam,"14,17,182","9,80,671",69.20%,"79,735",8.10%,1999
Nanded,30,GEN,Maharashtra,Khatgaonkar Bhaskarrao Bapurao,Indian National Congress,"11,91,427","7,84,001",65.80%,"32,575",4.20%,1999
Nandurbar,15,GEN,Maharashtra,Gavit Manikrao Hodlya,Indian National Congress,"10,79,466","7,10,789",65.90%,"1,30,771",18.40%,1999
Nandyal,27,GEN,Andhra Pradesh,Bhuma Nagi Reddy,Telugu Desam,"11,16,553","7,49,179",67.10%,"72,609",9.70%,1999
Narasapur,10,GEN,Andhra Pradesh,Uppalapati Venkata Krishnam Raju,Bharatiya Janta Party,"10,20,409","7,33,626",71.90%,"1,65,948",22.60%,1999
Narasaraopet,17,GEN,Andhra Pradesh,Janardhanareddy Nedurumalli,Indian National Congress,"12,62,560","8,78,186",69.60%,"13,882",1.60%,1999
Nashik,12,ST,Maharashtra,Dhikale Uttamrao Nathuji,Shiv Sena,"13,44,755","7,78,284",57.90%,"36,812",4.70%,1999
Nawada,42,SC,Bihar [1947 - 1999],Sanjay Paswan,Bharatiya Janta Party,"11,73,989","8,59,271",73.20%,"84,085",9.80%,1999
Nellore,19,SC,Andhra Pradesh,Rajeswaramma Vukkala,Telugu Desam,"11,65,144","7,86,565",67.50%,"40,453",5.10%,1999
New Delhi,1,GEN,Delhi [1977 Onwards],Jag Mohan,Bharatiya Janta Party,"5,43,037","2,26,866",41.80%,"27,893",12.30%,1999
Nilgiris,18,GEN,Tamil Nadu,"Mathan, M. (Alias) Master Mathan, M.",Bharatiya Janta Party,"13,48,475","7,42,727",55.10%,"23,959",3.20%,1999
Nizamabad,34,GEN,Andhra Pradesh,Ganga Reddy Gaddam,Telugu Desam,"11,29,947","7,78,332",68.90%,"3,436",0.40%,1999
Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,"11,13,339","7,81,105",70.20%,"35,428",4.50%,1999
Nowrangpur,13,GEN,Orissa,Parsuram Majhi,Bharatiya Janta Party,"10,85,575","6,76,874",62.40%,"16,151",2.40%,1999
Ongole,18,GEN,Andhra Pradesh,Karanam Balarama Krishna Murthy,Telugu Desam,"11,90,279","7,92,803",66.60%,"21,948",2.80%,1999
Osmanabad,36,GEN,Maharashtra,Kamble Shivaji Vithalrao,Shiv Sena,"9,36,324","6,67,062",71.20%,"59,073",8.90%,1999
Ottapalam,8,GEN,Kerala,S. Ajayakumar,Communist Party Of India (MARXIST),"11,03,327","7,84,584",71.10%,"13,715",1.70%,1999
Outer Delhi,3,GEN,Delhi [1977 Onwards],Sahib Singh Verma,Bharatiya Janta Party,"31,03,525","12,87,504",41.50%,"2,02,472",15.70%,1999
Outer Manipur,2,ST,Manipur,Holkhomang,Nationalist Congress Party,"7,14,411","4,54,615",63.60%,"28,809",6.30%,1999
Padrauna,40,GEN,Uttar Pradesh [1947 - 1999],Ram Nagina Mishra,Bharatiya Janta Party,"12,10,405","7,08,154",58.50%,"26,738",3.80%,1999
Palamau,54,SC,Bihar [1947 - 1999],Braj Mohan Ram,Bharatiya Janta Party,"10,80,153","5,16,668",47.80%,"85,125",16.50%,1999
Palani,22,GEN,Tamil Nadu,"Kumarasamy, P.",All India Anna Dravida Munnetra Kazhagam,"11,59,677","6,82,853",58.90%,"28,717",4.20%,1999
Palghat,7,GEN,Kerala,N.N.Krishnadas,Communist Party Of India (MARXIST),"11,32,416","8,15,882",72.10%,"30,767",3.80%,1999
Pali,21,GEN,Rajasthan,Pusp Jain,Bharatiya Janta Party,"10,80,520","5,40,250",50.00%,"1,04,666",19.40%,1999
Panaji,1,GEN,Goa,Shripad Yasso Naik,Bharatiya Janta Party,"4,13,641","1,91,093",46.20%,"36,721",19.20%,1999
Pandharpur,38,SC,Maharashtra,Athawale Ramdas Bandu,Independent,"11,06,361","8,27,541",74.80%,"2,59,505",31.40%,1999
Panskura,29,SC,West Bengal,Gita Mukherjee,Communist Party Of India,"9,86,955","8,24,564",83.60%,"46,858",5.70%,1999
Parbhani,31,GEN,Maharashtra,Jadhav Suresh Ramrao,Shiv Sena,"10,55,193","7,05,781",66.90%,"43,665",6.20%,1999
Parvathipuram,2,ST,Andhra Pradesh,Dadichiluka Veera Gouri Sankara Rao,Telugu Desam,"9,11,609","6,37,051",69.90%,"13,281",2.10%,1999
Patan,13,GEN,Gujarat,Rashtrapal Pravinchandra Somabhai,Indian National Congress,"10,03,829","4,86,048",48.40%,"17,127",3.50%,1999
Patiala,8,SC,Punjab,Preneet Kaur,Indian National Congress,"13,10,354","7,81,794",59.70%,"78,908",10.10%,1999
Patna,35,GEN,Bihar [1947 - 1999],C P Thakur,Bharatiya Janta Party,"14,70,372","8,12,307",55.20%,"46,892",5.80%,1999
Peddapalli,36,SC,Andhra Pradesh,Dr.Smt.C. Suguna Kumari,Telugu Desam,"13,30,759","8,96,723",67.40%,"15,889",1.80%,1999
Perambalur,28,GEN,Tamil Nadu,Raja. A.,Dravida Munetra Kazhagam,"10,64,321","6,96,057",65.40%,"68,051",9.80%,1999
Periyakulam,25,GEN,Tamil Nadu,"Dhinakaran,",All India Anna Dravida Munnetra Kazhagam,"11,21,725","6,65,824",59.40%,"45,806",6.90%,1999
Phillaur,5,SC,Punjab,Santosh Chowdhary,Indian National Congress,"11,44,089","6,19,793",54.20%,"26,578",4.30%,1999
Phulbani,15,GEN,Orissa,Padmanava Behera,Biju Janata Dal,"11,26,908","6,41,041",56.90%,"1,02,215",15.90%,1999
Phulpur,55,GEN,Uttar Pradesh [1947 - 1999],Dharam Raj Singh Patel,Samajwadi Party,"11,83,537","6,90,973",58.40%,"20,039",2.90%,1999
Pilibhit,13,GEN,Uttar Pradesh [1947 - 1999],Maneka Gandhi,Independent,"11,39,217","7,56,275",66.40%,"2,39,855",31.70%,1999
Pollachi,21,GEN,Tamil Nadu,"Krishnan, Dr.C.",Marumalarchi Dravida Munnetra Kazhagam,"10,74,230","6,13,288",57.10%,"9,515",1.60%,1999
Pondicherry,1,GEN,Pondicherry,M O H Farook,Indian National Congress,"7,01,990","4,44,174",63.30%,"24,188",5.40%,1999
Ponnani,6,GEN,Kerala,G.M. Banatwalla,Muslim League Kerala State Committee,"11,46,335","6,94,990",60.60%,"1,29,478",18.60%,1999
Porbandar,5,GEN,Gujarat,Javiya Gordhanbhai Jadavbhai,Bharatiya Janta Party,"8,94,299","3,31,994",37.10%,"1,01,360",30.50%,1999
Pratapgarh,24,GEN,Uttar Pradesh [1947 - 1999],Rajkumari Ratna Singh,Indian National Congress,"11,89,143","5,75,741",48.40%,"6,003",1.00%,1999
Pudukkottai,32,GEN,Tamil Nadu,Thirunavukarasu,M.G.R.Anna D.M.Kazhagam,"12,18,297","7,80,964",64.10%,"64,302",8.20%,1999
Pune,42,SC,Maharashtra,Pradeep Rawat,Bharatiya Janta Party,"14,35,101","7,49,454",52.20%,"91,285",12.20%,1999
Puri,8,SC,Orissa,Braja Kishore Tripathy,Biju Janata Dal,"11,76,817","6,66,936",56.70%,"1,31,745",19.80%,1999
Purnea,24,GEN,Bihar [1947 - 1999],Rajesh Ranjan,Independent,"10,85,356","7,02,553",64.70%,"2,52,566",35.90%,1999
Purulia,34,GEN,West Bengal,Birsingh Mahato,All India Forward Bloc,"10,08,066","6,92,271",68.70%,"1,74,870",25.30%,1999
Quilon,18,GEN,Kerala,P. Rajendran,Communist Party Of India (MARXIST),"10,88,597","7,40,869",68.10%,"19,284",2.60%,1999
Rae Bareli,23,GEN,Uttar Pradesh [1947 - 1999],Satish Sharma,Indian National Congress,"11,74,548","6,96,302",59.30%,"73,549",10.60%,1999
Raichur,3,GEN,Karnataka,A. Venkatesh Naik,Indian National Congress,"12,26,104","7,22,982",59.00%,"1,72,206",23.80%,1999
Raiganj,5,GEN,West Bengal,Priya Ranjan Dasmunsi,Indian National Congress,"11,44,667","8,85,408",77.40%,"75,255",8.50%,1999
Raigarh,13,ST,Madhya Pradesh [1947 - 1999],Vishnudeo Sai,Bharatiya Janta Party,"9,75,987","5,79,632",59.40%,"5,773",1.00%,1999
Raipur,17,GEN,Madhya Pradesh [1947 - 1999],Ramesh Bais,Bharatiya Janta Party,"11,77,144","6,69,287",56.90%,"80,060",12.00%,1999
Rajahmundry,8,GEN,Andhra Pradesh,Satyanarayana Rao S.B.P.B.K,Bharatiya Janta Party,"11,37,225","8,23,798",72.40%,"60,031",7.30%,1999
Rajampet,22,GEN,Andhra Pradesh,Gunipati Ramaiah,Telugu Desam,"9,46,311","6,78,817",71.70%,"27,170",4.00%,1999
Rajapur,1,ST,Maharashtra,Suresh Prabhu,Shiv Sena,"7,90,537","4,56,224",57.70%,"1,12,850",24.70%,1999
Rajgarh,32,GEN,Madhya Pradesh [1947 - 1999],Laxman Singh,Indian National Congress,"11,15,072","6,73,637",60.40%,"65,693",9.80%,1999
Rajkot,4,GEN,Gujarat,Dr Kathiriya Vallabhbhai Ramjibhai,Bharatiya Janta Party,"13,79,914","5,58,569",40.50%,"86,747",15.50%,1999
Rajmahal,26,ST,Bihar [1947 - 1999],Thomas Hansda,Indian National Congress,"9,50,593","5,69,344",59.90%,"62,099",10.90%,1999
Rajnandgaon,22,GEN,Madhya Pradesh [1947 - 1999],Dr. Raman,Bharatiya Janta Party,"10,16,713","6,03,640",59.40%,"26,715",4.40%,1999
Ramanathapuram,34,GEN,Tamil Nadu,Malaisamy.K.,All India Anna Dravida Munnetra Kazhagam,"11,15,127","6,41,057",57.50%,"6,646",1.00%,1999
Rampur,8,GEN,Uttar Pradesh [1947 - 1999],Begum Noor Bano Urf Mahtab Zamani Begum,Indian National Congress,"13,22,470","8,20,796",62.10%,"1,15,471",14.10%,1999
Ramtek,22,ST,Maharashtra,Subodh Mohite,Shiv Sena,"10,50,833","6,89,771",65.60%,"11,689",1.70%,1999
Ranchi,49,GEN,Bihar [1947 - 1999],Ram Tahal Choudhary,Bharatiya Janta Party,"11,31,760","5,83,745",51.60%,"2,41,177",41.30%,1999
Rasipuram,15,GEN,Tamil Nadu,"Saroja, V. Dr.",All India Anna Dravida Munnetra Kazhagam,"11,61,452","6,43,060",55.40%,"38,405",6.00%,1999
Ratnagiri,2,GEN,Maharashtra,Anant Gangaram Geete,Shiv Sena,"8,72,359","5,58,229",64.00%,"1,15,343",20.70%,1999
Rewa,9,GEN,Madhya Pradesh [1947 - 1999],Sunder Lal Tiwari,Indian National Congress,"13,69,793","7,48,500",54.60%,"64,151",8.60%,1999
Robertsganj,53,SC,Uttar Pradesh [1947 - 1999],Ram Shakal,Bharatiya Janta Party,"14,43,487","7,55,019",52.30%,"15,928",2.10%,1999
Rohtak,5,GEN,Haryana,Inder Singh,Indian National Lok Dal,"9,38,878","6,34,235",67.60%,"1,44,693",22.80%,1999
Ropar,7,GEN,Punjab,Shamsher Singh,Indian National Congress,"12,66,744","7,18,970",56.80%,"77,381",10.80%,1999
Rosera,16,SC,Bihar [1947 - 1999],Ram Chandra Paswan,Janata Dal (United),"10,77,267","7,34,151",68.20%,"1,42,916",19.50%,1999
Sabarkantha,15,GEN,Gujarat,Nisha Amarsinh Chaudhary,Indian National Congress,"11,19,855","6,72,849",60.10%,"14,376",2.10%,1999
Sagar,5,SC,Madhya Pradesh [1947 - 1999],Virendra Kumar,Bharatiya Janta Party,"11,22,464","5,43,932",48.50%,"60,473",11.10%,1999
Saharanpur,84,GEN,Uttar Pradesh [1947 - 1999],Mansoor Ali Khan,Bahujan Samaj Party,"12,61,896","7,78,805",61.70%,"22,307",2.90%,1999
Saharsa,20,GEN,Bihar [1947 - 1999],Dinesh Chandra Yadav,Janata Dal (United),"11,42,103","7,32,053",64.10%,"94,493",12.90%,1999
Saidpur,49,SC,Uttar Pradesh [1947 - 1999],Tufani Saroj,Samajwadi Party,"13,09,952","7,14,660",54.60%,"31,371",4.40%,1999
Salem,16,GEN,Tamil Nadu,"Selvaganapathi, T.M.",All India Anna Dravida Munnetra Kazhagam,"12,57,383","7,43,934",59.20%,"25,411",3.40%,1999
Salempur,42,GEN,Uttar Pradesh [1947 - 1999],Babban Rajbhar,Bahujan Samaj Party,"12,65,863","6,47,355",51.10%,"9,050",1.40%,1999
Salumber,17,GEN,Rajasthan,Bheru Lal Meena,Indian National Congress,"11,17,315","5,77,100",51.70%,"52,408",9.10%,1999
Samastipur,17,GEN,Bihar [1947 - 1999],Manjay Lal,Janata Dal (United),"12,19,110","8,01,021",65.70%,"12,688",1.60%,1999
Sambalpur,17,GEN,Orissa,Prasanna Acharya,Biju Janata Dal,"11,90,344","7,02,356",59.00%,"1,26,963",18.10%,1999
Sambhal,9,GEN,Uttar Pradesh [1947 - 1999],Mulayam Singh Yadav,Samajwadi Party,"10,81,421","6,29,490",58.20%,"1,15,834",18.40%,1999
Sangli,46,GEN,Maharashtra,Prakash (Bapu) Vasantrao Patil,Indian National Congress,"10,31,607","7,35,459",71.30%,"1,60,560",21.80%,1999
Sangrur,10,GEN,Punjab,Simranjit Singh Mann,Shiromani Akali Dal (SIMRANJIT SINGH MANN),"11,45,315","7,16,182",62.50%,"86,317",12.10%,1999
Sarangarh,16,SC,Madhya Pradesh [1947 - 1999],P. R. Khute,Bharatiya Janta Party,"10,87,904","6,85,971",63.10%,"51,759",7.50%,1999
Sasaram,38,SC,Bihar [1947 - 1999],Muni Lall,Bharatiya Janta Party,"11,44,324","6,62,269",57.90%,"18,676",2.80%,1999
Satara,44,GEN,Maharashtra,Laxmanrao Pandurang Jadhav Patil,Nationalist Congress Party,"9,84,469","7,03,027",71.40%,"1,24,771",17.70%,1999
Satna,8,GEN,Madhya Pradesh [1947 - 1999],Ramanand Singh,Bharatiya Janta Party,"11,89,692","6,25,644",52.60%,"3,405",0.50%,1999
Sawai Madhopur,11,ST,Rajasthan,Jaskaur,Bharatiya Janta Party,"11,77,950","5,15,834",43.80%,"58,881",11.40%,1999
Secunderabad,31,GEN,Andhra Pradesh,Bandaru Dattatraya,Bharatiya Janta Party,"17,70,024","9,70,791",54.90%,"97,626",10.10%,1999
Seoni,26,GEN,Madhya Pradesh [1947 - 1999],Ram Naresh Tripathi,Bharatiya Janta Party,"11,15,422","5,97,615",53.60%,"15,934",2.70%,1999
Serampore,26,GEN,West Bengal,Akbor Ali Khandoker,All India Trinamool Congress,"13,25,375","9,25,995",69.90%,"47,764",5.20%,1999
Shahabad,16,GEN,Uttar Pradesh [1947 - 1999],Daud Ahmad,Bahujan Samaj Party,"11,28,503","6,49,856",57.60%,"42,132",6.50%,1999
Shahdol,11,ST,Madhya Pradesh [1947 - 1999],Dalpat Singh,Bharatiya Janta Party,"11,98,264","5,96,288",49.80%,"19,901",3.30%,1999
Shahjahanpur,14,GEN,Uttar Pradesh [1947 - 1999],Kr. Jitendra Prasad,Indian National Congress,"11,30,852","6,83,859",60.50%,"17,992",2.60%,1999
Shajapur,33,SC,Madhya Pradesh [1947 - 1999],Thavarchand Gehlot,Bharatiya Janta Party,"11,99,025","7,63,797",63.70%,"34,666",4.50%,1999
Sheohar,12,GEN,Bihar [1947 - 1999],Md Anwarul Haque,Rashtriya Janata Dal,"10,83,123","7,26,559",67.10%,"2,535",0.30%,1999
Shillong,1,ST,Meghalaya,Paty Ripple Kyndiah,Indian National Congress,"7,24,389","3,69,010",50.90%,"37,823",10.20%,1999
Shimoga,21,GEN,Karnataka,S.Bangarappa,Indian National Congress,"11,33,307","8,32,101",73.40%,"95,038",11.40%,1999
Sholapur,37,GEN,Maharashtra,Shinde Sushilkumar Sambhajirao,Indian National Congress,"10,26,006","6,30,769",61.50%,"76,995",12.20%,1999
Siddipet,32,SC,Andhra Pradesh,M. Rajaiah,Telugu Desam,"16,22,094","10,75,422",66.30%,"1,53,721",14.30%,1999
Sidhi,10,ST,Madhya Pradesh [1947 - 1999],Chandra Pratap Singh ( Baba Sahab),Bharatiya Janta Party,"12,63,213","6,15,212",48.70%,"4,855",0.80%,1999
Sikar,5,GEN,Rajasthan,Subhash Maharia,Bharatiya Janta Party,"12,90,220","7,55,202",58.50%,"28,173",3.70%,1999
Sikkim,1,GEN,Sikkim,Bhim Pd. Dahal,Sikkim Democratic Front,"2,55,377","2,08,670",81.70%,"21,362",10.20%,1999
Silchar,2,GEN,Assam,Sontosh Mohan Dev,Indian National Congress,"8,27,760","6,08,528",73.50%,"1,07,752",17.70%,1999
Simla,1,GEN,Himachal Pradesh,Lt. Col. Dhani Ram Shandil,Himachal Vikash Congress,"9,45,063","5,04,488",53.40%,"46,930",9.30%,1999
Singhbhum,51,ST,Bihar [1947 - 1999],Laxman Gilua,Bharatiya Janta Party,"8,46,629","4,82,318",57.00%,"82,311",17.10%,1999
Sirsa,10,GEN,Haryana,Dr. Sushil Kumar Indora,Indian National Lok Dal,"11,00,439","6,41,063",58.30%,"2,19,726",34.30%,1999
Sitamarhi,11,GEN,Bihar [1947 - 1999],Nawal Kishore Rai,Janata Dal (United),"11,26,989","7,56,016",67.10%,"1,01,257",13.40%,1999
Sitapur,17,GEN,Uttar Pradesh [1947 - 1999],Rajesh Verma,Bahujan Samaj Party,"11,13,415","6,44,865",57.90%,"36,362",5.60%,1999
Sivaganga,33,GEN,Tamil Nadu,"Sudarsana Natchiappan,e.M.",Indian National Congress,"11,17,223","6,24,047",55.90%,"23,811",3.80%,1999
Sivakasi,35,GEN,Tamil Nadu,Vaiko,Marumalarchi Dravida Munnetra Kazhagam,"12,57,935","7,90,751",62.90%,"74,781",9.50%,1999
Siwan,5,GEN,Bihar [1947 - 1999],M Sahabuddin,Rashtriya Janata Dal,"9,89,004","7,09,984",71.80%,"1,29,840",18.30%,1999
Sonepat,4,GEN,Haryana,Kishan Singh Sangwan,Bharatiya Janta Party,"10,57,175","6,59,535",62.40%,"2,66,138",40.40%,1999
South Delhi,2,GEN,Delhi [1977 Onwards],Vijay Kumar Malhotra,Bharatiya Janta Party,"11,94,198","4,99,990",41.90%,"29,999",6.00%,1999
Srikakulam,1,GEN,Andhra Pradesh,Yerrannaidu Kinjarapu,Telugu Desam,"9,85,232","6,76,413",68.70%,"96,882",14.30%,1999
Srinagar,2,GEN,Jammu & Kashmir,Omer Abdullah,Jammu & Kashmir National Conference,"8,54,081","1,01,933",11.90%,"36,859",36.20%,1999
Sriperumbudur,4,GEN,Tamil Nadu,"Krishnaswamy, A.",Dravida Munetra Kazhagam,"13,53,858","7,44,852",55.00%,"75,002",10.10%,1999
Sultanpur,26,GEN,Uttar Pradesh [1947 - 1999],Jai Bhadra Singh,Bahujan Samaj Party,"12,20,728","6,22,094",51.00%,"14,599",2.30%,1999
Sundargarh,20,GEN,Orissa,Jual Oram,Bharatiya Janta Party,"11,98,357","6,30,650",52.60%,"1,52,514",24.20%,1999
Surat,24,GEN,Gujarat,Kashiram Rana,Bharatiya Janta Party,"19,50,958","6,29,334",32.30%,"2,49,197",39.60%,1999
Surendranagar,2,GEN,Gujarat,Makwana Savshibhai Kanjibhai,Indian National Congress,"9,70,544","4,78,887",49.30%,"25,905",5.40%,1999
Surguja,12,ST,Madhya Pradesh [1947 - 1999],Khel Sai Singh,Indian National Congress,"10,89,910","5,91,901",54.30%,"61,426",10.40%,1999
Tamluk,30,GEN,West Bengal,Lakshman Chandra Seth,Communist Party Of India (MARXIST),"10,98,196","9,19,886",83.80%,"54,826",6.00%,1999
Tarn Taran,3,GEN,Punjab,Tarlochan Singh Tur,Shiromani Akali Dal,"11,01,496","5,94,943",54.00%,"75,617",12.70%,1999
Tehri Garhwal,1,GEN,Uttar Pradesh [1947 - 1999],Manabendra Shah,Bharatiya Janta Party,"11,61,284","4,90,531",42.20%,"15,771",3.20%,1999
Tenali,14,GEN,Andhra Pradesh,Ummareddy Venkateswarlu,Telugu Desam,"9,60,447","6,59,306",68.70%,"73,029",11.10%,1999
Tenkasi,37,SC,Tamil Nadu,"Murugesan,s.",All India Anna Dravida Munnetra Kazhagam,"10,44,090","6,77,352",64.90%,887,0.10%,1999
Tezpur,9,GEN,Assam,Moni Kumar Subba,Indian National Congress,"9,71,406","7,05,449",72.60%,"25,706",3.60%,1999
Thane,10,GEN,Maharashtra,Prakash Paranjpe,Shiv Sena,"27,72,750","9,34,027",33.70%,"99,683",10.70%,1999
Thanjavur,31,GEN,Tamil Nadu,Palanimanickam.S.S.,Dravida Munetra Kazhagam,"10,49,837","6,62,025",63.10%,"33,014",5.00%,1999
Tindivanam,10,GEN,Tamil Nadu,Ramachandran N. Gingee.,Marumalarchi Dravida Munnetra Kazhagam,"11,28,742","6,95,793",61.60%,"9,350",1.30%,1999
Tiruchendur,38,GEN,Tamil Nadu,"Jayaseelan, A.D.K.",Dravida Munetra Kazhagam,"10,40,627","5,44,782",52.40%,"59,666",11.00%,1999
Tiruchengode,17,GEN,Tamil Nadu,"Kannappan, M.",Marumalarchi Dravida Munnetra Kazhagam,"15,27,064","8,46,112",55.40%,"4,556",0.50%,1999
Tiruchirappalli,27,SC,Tamil Nadu,Arangarajan Kumaramangalam,Bharatiya Janta Party,"12,45,971","7,02,752",56.40%,"89,197",12.70%,1999
Tirunelveli,36,GEN,Tamil Nadu,"Pandian, P.H.",All India Anna Dravida Munnetra Kazhagam,"11,21,877","6,10,963",54.50%,"26,494",4.30%,1999
Tirupathi,20,SC,Andhra Pradesh,Dr.N.Venkataswamy,Bharatiya Janta Party,"11,99,710","8,24,694",68.70%,"12,497",1.50%,1999
Tiruppattur,8,GEN,Tamil Nadu,"Venugopal, D.",Dravida Munetra Kazhagam,"11,44,891","7,46,109",65.20%,"23,613",3.20%,1999
Tonk,13,GEN,Rajasthan,Shyam Lal Bansiwal,Bharatiya Janta Party,"11,38,478","5,46,453",48.00%,"48,358",8.80%,1999
Trichur,9,SC,Kerala,A.C. Jose,Indian National Congress,"10,71,266","7,37,054",68.80%,"11,632",1.60%,1999
Tripura East,2,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),"8,54,764","5,64,376",66.00%,"1,50,500",26.70%,1999
Tripura West,1,GEN,Tripura,Samar Chowdhury,Communist Party Of India (MARXIST),"9,41,291","6,59,408",70.10%,"1,98,399",30.10%,1999
Trivandrum,20,GEN,Kerala,Advocate V.S. Sivakumar,Indian National Congress,"11,98,918","7,57,497",63.20%,"14,485",1.90%,1999
Tumkur,8,GEN,Karnataka,G.S.Basavaraj,Indian National Congress,"10,86,936","8,00,907",73.70%,"63,937",8.00%,1999
Tura,2,ST,Meghalaya,Purno Agitok Sangma,Nationalist Congress Party,"4,53,861","2,92,647",64.50%,"1,13,579",38.80%,1999
Udaipur,18,GEN,Rajasthan,Girija Vyas,Indian National Congress,"12,56,888","7,09,780",56.50%,"54,091",7.60%,1999
Udhampur,5,GEN,Jammu & Kashmir,Prof. Chaman Lal Gupta,Bharatiya Janta Party,"10,16,952","4,03,210",39.70%,"1,18,307",29.30%,1999
Udupi,18,SC,Karnataka,Vinay Kumar Sorake,Indian National Congress,"10,23,798","6,97,132",68.10%,"31,587",4.50%,1999
Ujjain,38,SC,Madhya Pradesh [1947 - 1999],Dr. Satyanarayan Jatiya,Bharatiya Janta Party,"11,07,836","6,73,742",60.80%,"68,038",10.10%,1999
Uluberia,25,GEN,West Bengal,Hannan Mollah,Communist Party Of India (MARXIST),"11,01,065","8,18,915",74.40%,"67,577",8.30%,1999
Unnao,22,GEN,Uttar Pradesh [1947 - 1999],Deepak Kumar,Samajwadi Party,"12,01,204","5,99,503",49.90%,"37,775",6.30%,1999
Vaishali,9,GEN,Bihar [1947 - 1999],Raghuvansh Prasad Singh,Rashtriya Janata Dal,"10,49,006","7,21,601",68.80%,"45,392",6.30%,1999
Vandavasi,9,GEN,Tamil Nadu,"Durai, M.",Pattali Makkal Katchi,"11,04,886","6,79,992",61.50%,"59,197",8.70%,1999
Varanasi,52,GEN,Uttar Pradesh [1947 - 1999],Shankar Prasad Jaiswal,Bharatiya Janta Party,"14,07,844","6,33,826",45.00%,"52,859",8.30%,1999
Vellore,7,GEN,Tamil Nadu,"Shanmugam, N.T.",Pattali Makkal Katchi,"11,52,421","7,02,639",61.00%,"25,685",3.70%,1999
Vidisha,31,GEN,Madhya Pradesh [1947 - 1999],Shivraj Singh Chauhan,Bharatiya Janta Party,"11,71,691","6,55,686",56.00%,"82,397",12.60%,1999
Vijayawada,13,GEN,Andhra Pradesh,Gadde Rama Mohan,Telugu Desam,"13,84,393","9,47,325",68.40%,"87,066",9.20%,1999
Visakhapatnam,4,GEN,Andhra Pradesh,M.V.V.S.Murthy,Telugu Desam,"14,20,606","9,14,936",64.40%,"38,919",4.30%,1999
Vishnupur,36,GEN,West Bengal,Sandhya Bauri,Communist Party Of India (MARXIST),"10,71,817","8,46,339",79.00%,"1,81,570",21.50%,1999
